品名,最低价,平均价,最高价,规格,单位,发布日期
大白菜,0.25,0.30,0.35,普通,斤,2018-04-02
大头菜,0.50,0.60,0.70,普通,斤,2018-04-02
芹菜,0.80,0.85,0.90,普通,斤,2018-04-02
菠菜,0.35,0.68,1.00,普通,斤,2018-04-02
番茄,1.50,1.75,2.00,普通,斤,2018-04-02
黄瓜,1.40,1.70,2.00,普通,斤,2018-04-02
茄子,1.50,1.85,2.20,普通,斤,2018-04-02
架豆,2.30,3.10,3.90,普通,斤,2018-04-02
尖椒,1.80,2.50,3.20,普通,斤,2018-04-02
柿子椒,1.50,2.15,2.80,普通,斤,2018-04-02
土豆,0.40,0.57,0.75,普通,斤,2018-04-02
新土豆,1.00,1.18,1.35,普通,斤,2018-04-02
黄葱头,0.40,0.45,0.50,普通,斤,2018-04-02
红葱头,0.40,0.55,0.70,普通,斤,2018-04-02
葱,0.60,0.70,0.80,普通,斤,2018-04-02
吊冬瓜,1.30,1.40,1.50,普通,斤,2018-04-02
地冬瓜,0.70,0.80,0.90,普通,斤,2018-04-02
团生菜,1.30,1.80,2.30,普通,斤,2018-04-02
甘蓝（唐）,1.00,1.05,1.10,普通,斤,2018-04-02
甘蓝（徐州）,0.20,0.50,0.80,普通,斤,2018-04-02
品名,最低价,平均价,最高价,规格,单位,发布日期, 
洋白菜,0.20,0.23,0.25,普通,斤,2018-04-02
油菜,0.70,0.95,1.20,普通,斤,2018-04-02
姜,2.00,2.80,3.60,普通,斤,2018-04-02
大蒜,1.80,2.40,3.00,普通,斤,2018-04-02
新蒜,1.00,1.40,1.80,普通,斤,2018-04-02
西胡芦（油）,1.00,1.10,1.20,普通,斤,2018-04-02
菜花,0.80,1.00,1.20,普通,斤,2018-04-02
散菜花,1.80,2.20,2.60,普通,斤,2018-04-02
绿菜花,2.00,2.30,2.60,普通,斤,2018-04-02
胡萝卜（鲁）,0.60,0.80,1.00,普通,斤,2018-04-02
胡萝卜（闽洗）,0.70,0.95,1.20,普通,斤,2018-04-02
平菇,2.00,2.25,2.50,普通,斤,2018-04-02
心里美,0.50,0.60,0.70,普通,斤,2018-04-02
莴笋,0.80,1.00,1.20,普通,斤,2018-04-02
香菇,3.00,3.50,4.00,普通,斤,2018-04-02
香菜,0.60,1.05,1.50,普通,斤,2018-04-02
山药,2.50,3.50,4.50,普通,斤,2018-04-02
铁棍山药,6.00,6.75,7.50,普通,斤,2018-04-02
山药豆,1.50,2.75,4.00,普通,斤,2018-04-02
藕,1.20,1.50,1.80,普通,斤,2018-04-02
品名,最低价,平均价,最高价,规格,单位,发布日期, 
小毛冬瓜,1.30,1.65,2.00,普通,斤,2018-04-02
海带,0.40,0.45,0.50,普通,斤,2018-04-02
水萝卜,0.40,0.50,0.60,普通,斤,2018-04-02
韭菜,0.70,0.95,1.20,普通,斤,2018-04-02
小白菜,0.80,1.00,1.20,普通,斤,2018-04-02
蒜苗,2.00,2.25,2.50,普通,斤,2018-04-02
蒜黄,1.50,2.00,2.50,普通,斤,2018-04-02
豆王,3.70,4.35,5.00,普通,斤,2018-04-02
扁豆,3.00,3.50,4.00,普通,斤,2018-04-02
豇豆,3.50,4.50,5.50,普通,斤,2018-04-02
红薯,1.50,1.65,1.80,普通,斤,2018-04-02
紫薯,1.60,1.95,2.30,普通,斤,2018-04-02
绿豆芽,0.80,0.85,0.90,普通,斤,2018-04-02
黄豆芽,0.70,0.75,0.80,普通,斤,2018-04-02
蒜米,1.70,2.20,2.70,普通,斤,2018-04-02
青蒜,0.60,0.75,0.90,普通,斤,2018-04-02
苦瓜,2.00,2.75,3.50,普通,斤,2018-04-02
丝瓜,2.00,2.50,3.00,普通,斤,2018-04-02
南北瓜,2.30,2.40,2.50,普通,斤,2018-04-02
青萝卜,0.40,0.70,1.00,普通,斤,2018-04-02
品名,最低价,平均价,最高价,规格,单位,发布日期, 
卞萝卜,0.30,0.35,0.40,普通,斤,2018-04-02
白萝卜,0.40,0.55,0.70,普通,斤,2018-04-02
白玉菇,4.50,4.75,5.00,普通,斤,2018-04-02
花生,6.00,6.25,6.50,普通,斤,2018-04-02
口蘑,6.50,6.75,7.00,普通,斤,2018-04-02
杏鲍菇,4.00,4.25,4.50,普通,斤,2018-04-02
鸡腿菇,12.00,13.50,15.00,普通,斤,2018-04-02
金针菇,1.50,2.00,2.50,普通,斤,2018-04-02
木耳,3.00,3.50,4.00,普通,斤,2018-04-02
茴香,1.00,1.10,1.20,普通,斤,2018-04-02
线椒,3.00,4.00,5.00,普通,斤,2018-04-02
杭椒,2.60,3.45,4.30,普通,斤,2018-04-02
